,Area Name,id,Total,Hispanic,White,Black,Asian,Mixed,Others,Population Density: Hispanic,Population Density: White,Population Density: Black,Population Density: Asian,Population Density: Mixed,Population Density: Others
70,"EUHARLEE, Bartow County, Georgia",7000000US13015000008,7437.0,466.0,5871.0,626.0,24.0,409.0,41.0,0.06265967459997311,0.7894312222670432,0.08417372596477074,0.003227107704719645,0.05499529380126395,0.0055129756622293935
71,"FOLSOM, Bartow County, Georgia",7000000US13015000009,2095.0,123.0,1863.0,24.0,2.0,75.0,8.0,0.058711217183770883,0.8892601431980907,0.011455847255369928,0.0009546539379474941,0.03579952267303103,0.0038186157517899762
72,"KINGSTON, Bartow County, Georgia",7000000US13015000010,3991.0,184.0,3333.0,238.0,9.0,206.0,21.0,0.04610373340015034,0.8351290403407667,0.059634176898020544,0.0022550739163117012,0.051616136306690055,0.005261839138060637
73,"MISSION ROAD, Bartow County, Georgia",7000000US13015000011,5760.0,519.0,4212.0,680.0,33.0,246.0,70.0,0.09010416666666667,0.73125,0.11805555555555555,0.005729166666666666,0.042708333333333334,0.012152777777777778
74,"PINE LOG, Bartow County, Georgia",7000000US13015000012,2935.0,122.0,2632.0,26.0,5.0,134.0,16.0,0.041567291311754684,0.8967632027257241,0.008858603066439524,0.0017035775127768314,0.04565587734241908,0.00545144804088586
75,"TAYLORSVILLE, Bartow County, Georgia",7000000US13015000014,3969.0,205.0,3508.0,60.0,16.0,168.0,12.0,0.05165028974552784,0.8838498362307886,0.015117157974300832,0.004031242126480222,0.042328042328042326,0.0030234315948601664
76,"WHITE, Bartow County, Georgia",7000000US13015000015,3546.0,143.0,3140.0,80.0,11.0,157.0,15.0,0.04032712915961647,0.8855047941342358,0.022560631697687534,0.003102086858432036,0.04427523970671179,0.004230118443316413
77,"ZENA DRIVE, Bartow County, Georgia",7000000US13015000016,10158.0,1248.0,6028.0,2152.0,221.0,432.0,77.0,0.12285883047844064,0.5934239023429809,0.211852726914747,0.021756251230557196,0.042528056704075605,0.0075802323291986615
78,"WOODLAND HIGH, Bartow County, Georgia",7000000US13015000018,2605.0,226.0,2063.0,183.0,10.0,117.0,6.0,0.08675623800383878,0.7919385796545105,0.07024952015355086,0.003838771593090211,0.04491362763915547,0.0023032629558541267
79,"EAST, Ben Hill County, Georgia",7000000US13017000001,6850.0,526.0,3065.0,2986.0,24.0,196.0,53.0,0.07678832116788321,0.4474452554744526,0.43591240875912407,0.0035036496350364962,0.028613138686131388,0.007737226277372263
